date,ICU_Inflow,ICU_Inflow_SMA3d,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA3d,Hosp_Inflow_SMA7d,Tested,Tested_SMA3d,Tested_SMA7d,Cases,Cases_SMA3d,Cases_SMA7d,Cases_Pct,Cases_Pct_SMA3d,Cases_Pct_SMA7d,Prev,R,RNA,RNA_SMA3d,RNA_SMA7d,Vacc_Est,Vacc_Est_SMA3d,Vacc_Est_SMA7d,Vacc_Est_Carehomes,Vacc_Adm_GGD,Vacc_Adm_Hosp,Vacc_Adm_Doctors,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2021-01-19,42.0,36.0,37.2857142857143,245.0,192.0,207.0,44101.0,40979.666666666664,43067.0,4589.0,4309.666666666667,4510.285714285715,10.4056597356069,10.544268919477402,10.473747618506541,116780.5,0.925,48560747462631.33,39300946840824.27,33764584524727.25,98832.0,88521.66666666667,69691.0,1037.0,57579.0,40216.0,0.0,0,1,0,0,0,0,0
2021-01-20,27.0,32.333333333333336,34.5714285714286,212.0,203.0,206.142857142857,44973.0,45610.666666666664,42740.0,4741.0,4773.333333333333,4460.857142857143,10.5418806839659,10.465350554587433,10.442133963506958,116042.0,0.935,35830296248138.195,43847412119753.47,35861720601622.77,116271.0,101343.0,79586.0,8476.0,67579.0,40216.0,0.0,0,0,1,0,0,0,0
2021-01-21,36.0,35.0,32.8571428571429,226.0,227.66666666666666,206.142857142857,40963.0,43345.666666666664,41696.0,4424.0,4584.666666666667,4365.571428571428,10.7999902350902,10.582510218221001,10.478348771938572,115402.0,0.95,22984182932592.523,35791742214454.016,31739866395377.12,131249.0,115450.66666666667,91266.28571428571,13436.0,77597.0,40216.0,0.0,0,0,0,1,0,0,0
2021-01-22,31.0,31.333333333333332,33.8571428571429,231.0,223.0,208.142857142857,36754.0,40896.666666666664,40387.0,4196.0,4453.666666666667,4289.142857142857,11.4164444686293,10.9194384625618,10.637358913423828,114541.0,0.965,34540646068977.223,31118375083235.98,33015378124900.062,141243.0,129587.66666666667,103110.71428571429,13436.0,87591.0,40216.0,0.0,0,0,0,0,1,0,0
2021-01-23,33.0,33.333333333333336,33.5714285714286,214.0,223.66666666666666,208.428571428571,29032.0,35583.0,39237.0,3456.0,4025.3333333333335,4249.428571428572,11.9041058142739,11.3735135059978,10.899318280055926,114421.0,0.965,35537800590776.164,31020876530781.97,35256538051850.99,152495.0,141662.33333333334,115260.42857142857,15000.0,97279.0,40216.0,0.0,0,0,0,0,0,1,0
2021-01-24,42.0,35.333333333333336,34.1428571428571,165.0,203.33333333333334,206.428571428571,24795.0,30193.666666666668,38339.0,3021.0,3557.6666666666665,4202.428571428572,12.183908045977,11.834819442960066,11.100071461104672,114296.5,0.94,51563678192747.05,40547374950833.48,39452649163479.055,164145.0,152627.66666666666,127594.42857142857,16829.0,107100.0,40216.0,0.0,0,0,0,0,0,0,1
2021-01-25,24.0,33.0,33.5714285714286,169.0,182.66666666666666,208.857142857143,36758.0,30195.0,36768.0,4201.0,3559.3333333333335,4089.714285714286,11.4288046139616,11.838939491404167,11.240113371072114,113124.5,0.905,29998287085571.367,39033255289698.2,37002234083061.984,178166.0,164935.33333333334,140343.0,21357.0,116593.0,40216.0,0.0,1,0,0,0,0,0,0
2021-01-26,52.0,39.333333333333336,35.0,219.0,184.33333333333334,205.142857142857,33393.0,31648.666666666668,35238.0,3792.0,3671.3333333333335,3975.8571428571427,11.355673344713,11.6561286682172,11.375829600944414,111479.5,0.88,62669621553448.97,48077195610589.125,39017787524607.36,198572.0,180294.33333333334,154591.57142857142,30045.0,128311.0,40216.0,0.0,0,1,0,0,0,0,0
2021-01-27,38.0,38.0,36.5714285714286,201.0,196.33333333333334,203.571428571429,34789.0,34980.0,33783.0,3724.0,3905.6666666666665,3830.5714285714284,10.7045330420535,11.163003666909367,11.399065652099784,110228.5,0.875,34891572413885.395,42519827017635.24,38883684119714.1,230457.0,202398.33333333334,170903.85714285713,43836.0,140205.0,46416.0,0.0,0,0,1,0,0,0,0
2021-01-28,29.0,39.666666666666664,35.5714285714286,186.0,202.0,197.857142857143,31574.0,33252.0,32442.0,3353.0,3623.0,3677.5714285714284,10.6194970545385,10.893234480435,11.373280912020972,108675.5,0.885,37686326458009.805,45082506808448.055,40983990337630.86,259907.0,229645.33333333334,189283.57142857142,61238.0,152253.0,46416.0,0.0,0,0,0,1,0,0,0
