,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,RNA_per_100000_per_measurement,pandas_SMA_3,pandas_SMA_7
262,2021-01-06,1543975090820473.0,0.0,73,21150343709869.492,25018146066766.47,21059158535037.27
263,2021-01-07,4717181776244408.0,0.0,91,51837162376312.18,32385657394361.363,26307236664749.95
264,2021-01-08,665913663020230.0,0.0,26,25612063962316.54,32866523349499.406,27643832493763.438
265,2021-01-09,277895535429676.0,0.0,14,19849681102119.715,32432969146916.145,27539979609407.008
266,2021-01-10,2085944638666959.0,0.0,94,22190900411350.63,22550881825262.293,27792035150342.645
267,2021-01-11,5563840732521923.0,0.0,118,47151192648490.875,29730591387320.406,30280115758194.555
268,2021-01-12,1942429898505253.0,0.0,40,48560747462631.33,39300946840824.27,33764584524727.25
269,2021-01-13,3296387254828714.0,0.0,92,35830296248138.195,43847412119753.47,35861720601622.77
270,2021-01-14,2068576463933327.0,0.0,90,22984182932592.523,35791742214454.016,31739866395377.117
271,2021-01-15,621731629241590.0,0.0,18,34540646068977.223,31118375083235.98,33015378124900.066
272,2021-01-16,852907214178628.0,0.0,24,35537800590776.164,31020876530781.97,35256538051850.99
273,2021-01-17,5517313566623934.0,0.0,107,51563678192747.05,40547374950833.48,39452649163479.055
274,2021-01-18,2459859541016852.0,0.0,82,29998287085571.367,39033255289698.195,37002234083061.984
275,2021-01-19,4073525400974183.0,0.0,65,62669621553448.97,48077195610589.125,39017787524607.36
276,2021-01-20,3175133089663571.0,0.0,91,34891572413885.395,42519827017635.24,38883684119714.1
277,2021-01-21,3429455707678892.0,0.0,91,37686326458009.805,45082506808448.055,40983990337630.86
278,2021-01-22,1670002976234646.0,0.0,48,34791728671555.125,35789875847816.77,41019859280856.266
279,2021-01-23,934463214482680.0,0.0,31,30143974660731.613,34207343263432.176,40249312719421.33
280,2021-01-24,2239189713809670.0,0.0,72,31099857136245.418,32011853489510.72,37325909711349.67
281,2021-01-25,4933520319935005.0,0.0,132,37375153938901.555,32872995245292.863,38379747833253.984
282,2021-01-26,1554175621869651.0,0.0,46,33786426562383.72,34087145879176.895,34253577120244.66
283,2021-01-27,3762120971627632.0,0.0,107,35160009080632.074,35440529860639.12,34291925215494.188
284,2021-01-28,4086268500430090.0,0.0,107,38189425237664.39,35711953626893.4,34363796469730.555
285,2021-01-29,843623829616384.0,0.0,8,105452978702048.0,59600804340114.82,44458260759800.96
286,2021-01-30,380871151340629.0,0.0,13,29297780872356.08,57646728270689.5,44337375932890.18
287,2021-01-31,1937847358719100.0,0.0,93,20837068373323.656,51862609315909.25,42871263252472.79
288,2021-02-01,3157394202704118.0,0.0,141,22392866685844.81,24175905310508.184,40730936502036.1
289,2021-02-02,3030622485249545.0,0.0,74,40954357908777.63,28061430989315.363,41754926694378.086
290,2021-02-03,2894411416257703.0,0.0,98,29534810369976.562,30960678321533.0,40951326878570.164
291,2021-02-04,2590954621301564.0,0.0,112,23133523404478.25,31207563894410.812,38800483759543.57
292,2021-02-05,436682547728454.0,0.0,34,12843604344954.53,21837312706469.78,25570573137101.65
293,2021-02-06,766682645472726.0,0.0,20,38334132273636.3,24770420007689.69,26861480480141.68
294,2021-02-07,846838902746811.0,0.0,83,10202878346347.121,20460204988312.652,25342310476287.883
295,2021-02-08,2387572235404213.0,0.0,115,20761497699167.07,23099502773050.16,25109257763905.35
296,2021-02-09,3167604021827007.0,0.0,70,45251486026100.1,25405287357204.766,25723133209237.133
297,2021-02-10,1606877639572631.0,0.0,89,18054804939018.324,28022596221428.5,24083132433385.957
298,2021-02-11,3378076760160170.0,0.0,124,27242554517420.727,30182948494179.72,24670136878092.027
299,2021-02-12,683630530421689.0,0.0,26,26293481939295.73,23863613798578.26,26591547962997.91
300,2021-02-13,411121999448932.0,0.0,21,19577238068996.76,24371091508571.074,23911991648049.402
301,2021-02-14,2494450864407263.0,0.0,93,26822052305454.44,24230924104582.312,26286159356493.312
302,2021-02-15,5862650569920377.0,0.0,113,51881863450622.805,32760384608358.0,30731925892415.555
303,2021-02-16,2819322503000493.0,0.0,83,33967741000005.94,37557218918694.4,29119962317259.246
